,ano,id_municipio,pop_total,pop_total_brancos,pop_total_pretos,pop_total_pardos,pop_homens,pop_homens_brancos,pop_homens_pretos,pop_homens_pardos,pop_mulheres,pop_mulheres_brancas,pop_mulheres_pretas,pop_mulheres_pardas
125,2017,2927408,2842000.0,485000.0,1037000.0,1296000.0,1308000.0,201000.0,490000.0,610000.0,1534000.0,284000.0,547000.0,686000.0
126,2018,2927408,2857000.0,469000.0,988000.0,1378000.0,1318000.0,201000.0,482000.0,627000.0,1539000.0,268000.0,506000.0,751000.0
127,2019,2927408,2872000.0,540000.0,981000.0,1297000.0,1300000.0,239000.0,448000.0,587000.0,1572000.0,301000.0,532000.0,710000.0
128,2012,3106200,2440000.0,1167000.0,185000.0,1075000.0,1125000.0,521000.0,83000.0,517000.0,1315000.0,646000.0,103000.0,558000.0
129,2013,3106200,2450000.0,1094000.0,272000.0,1080000.0,1114000.0,494000.0,130000.0,488000.0,1337000.0,,142000.0,592000.0
130,2014,3106200,2461000.0,1132000.0,258000.0,1063000.0,1137000.0,507000.0,130000.0,496000.0,1324000.0,624000.0,127000.0,567000.0
131,2015,3106200,2472000.0,1092000.0,257000.0,1115000.0,1144000.0,,126000.0,514000.0,1328000.0,592000.0,131000.0,602000.0
132,2016,3106200,2482000.0,1035000.0,315000.0,1123000.0,1162000.0,453000.0,154000.0,550000.0,1320000.0,581000.0,161000.0,573000.0
133,2017,3106200,2491000.0,1084000.0,296000.0,1100000.0,1168000.0,496000.0,133000.0,533000.0,1323000.0,588000.0,163000.0,567000.0
134,2018,3106200,2502000.0,1019000.0,293000.0,1181000.0,1155000.0,468000.0,134000.0,551000.0,1346000.0,551000.0,159000.0,631000.0
135,2019,3106200,2511000.0,989000.0,318000.0,1197000.0,1187000.0,474000.0,145000.0,565000.0,1324000.0,515000.0,173000.0,632000.0
136,2012,3205309,343000.0,160000.0,33000.0,148000.0,160000.0,70000.0,17000.0,73000.0,183000.0,90000.0,16000.0,76000.0
137,2013,3205309,347000.0,173000.0,31000.0,140000.0,160000.0,77000.0,16000.0,66000.0,187000.0,96000.0,15000.0,74000.0
138,2014,3205309,351000.0,180000.0,38000.0,132000.0,167000.0,82000.0,19000.0,65000.0,185000.0,98000.0,19000.0,68000.0
139,2015,3205309,355000.0,169000.0,32000.0,151000.0,166000.0,76000.0,16000.0,72000.0,190000.0,93000.0,16000.0,78000.0
140,2016,3205309,359000.0,165000.0,33000.0,159000.0,166000.0,73000.0,16000.0,75000.0,194000.0,92000.0,16000.0,85000.0
141,2017,3205309,363000.0,169000.0,47000.0,144000.0,165000.0,75000.0,22000.0,67000.0,198000.0,94000.0,25000.0,77000.0
142,2018,3205309,367000.0,166000.0,49000.0,145000.0,168000.0,72000.0,24000.0,69000.0,,95000.0,25000.0,76000.0
143,2019,3205309,371000.0,190000.0,43000.0,133000.0,174000.0,87000.0,21000.0,63000.0,198000.0,103000.0,22000.0,70000.0
