ano,id_regiao,sexo,raca_cor,populacao
2017,2,Mulheres,Total,29175000
2017,2,Mulheres,Branca,7383000
2017,2,Mulheres,Preta,2961000
2017,2,Mulheres,Parda,18656000
2018,2,Total,Total,56618000
2018,2,Total,Branca,13949000
2018,2,Total,Preta,6422000
2018,2,Total,Parda,35773000
2018,2,Homens,Total,27236000
2018,2,Homens,Branca,6519000
2018,2,Homens,Preta,3197000
2018,2,Homens,Parda,17314000
2018,2,Mulheres,Total,29381000
2018,2,Mulheres,Branca,7430000
2018,2,Mulheres,Preta,3226000
2018,2,Mulheres,Parda,18459000
2019,2,Total,Total,56928000
2019,2,Total,Branca,14051000
2019,2,Total,Preta,6790000
2019,2,Total,Parda,35582000
2019,2,Homens,Total,27393000
2019,2,Homens,Branca,6551000
2019,2,Homens,Preta,3378000
2019,2,Homens,Parda,17230000
2019,2,Mulheres,Total,29534000
2019,2,Mulheres,Branca,7500000
2019,2,Mulheres,Preta,3412000
2019,2,Mulheres,Parda,18352000
2012,3,Total,Total,83536000
2012,3,Total,Branca,45915000
2012,3,Total,Preta,6854000
2012,3,Total,Parda,30047000
2012,3,Homens,Total,40354000
2012,3,Homens,Branca,21808000
2012,3,Homens,Preta,3334000
2012,3,Homens,Parda,14860000
2012,3,Mulheres,Total,43181000
2012,3,Mulheres,Branca,24107000
2012,3,Mulheres,Preta,3521000
2012,3,Mulheres,Parda,15187000
2013,3,Total,Total,84233000
2013,3,Total,Branca,45813000
2013,3,Total,Preta,6980000
2013,3,Total,Parda,30689000
2013,3,Homens,Total,40428000
2013,3,Homens,Branca,21516000
2013,3,Homens,Preta,3451000
2013,3,Homens,Parda,15117000
2013,3,Mulheres,Total,43805000
2013,3,Mulheres,Branca,24296000
2013,3,Mulheres,Preta,3530000
2013,3,Mulheres,Parda,15571000
2014,3,Total,Total,84937000
2014,3,Total,Branca,46404000
2014,3,Total,Preta,6702000
2014,3,Total,Parda,30902000
2014,3,Homens,Total,40739000
2014,3,Homens,Branca,21732000
2014,3,Homens,Preta,3372000
2014,3,Homens,Parda,15208000
2014,3,Mulheres,Total,44198000
2014,3,Mulheres,Branca,24672000
2014,3,Mulheres,Preta,3330000
